,time,voltage,delp_mmh2o,delp_pa,velocity,di_sig
196,1.96,1.591669,39.194534,384.49838,25.272547,-0.142509
197,1.97,1.752748,43.287067,424.64615,26.559221,1.479503
198,1.98,1.620957,39.938656,391.7982,25.511322,0.158497
199,1.99,1.503906,36.96474,362.62408,24.543139,-1.06202
200,2.0,1.577027,38.822525,380.84897,25.152327,-0.294063
201,2.01,1.713867,42.299217,414.95532,26.25442,1.095263
202,2.02,1.635601,40.310715,395.44812,25.629875,0.307948
203,2.03,1.50381,36.9623,362.60016,24.542328,-1.063041
204,2.04,1.591669,39.194534,384.49838,25.272547,-0.142509
205,2.05,1.794395,44.345192,435.02634,26.881874,1.886246
206,2.06,1.547739,38.078403,373.54916,24.910109,-0.599407
207,2.07,1.50381,36.9623,362.60016,24.542328,-1.063041
208,2.08,1.606313,39.566593,388.1483,25.392216,0.008347
209,2.09,1.577027,38.822525,380.84897,25.152327,-0.294063
210,2.1,1.591669,39.194534,384.49838,25.272547,-0.142509
211,2.11,1.635601,40.310715,395.44812,25.629875,0.307948
212,2.12,1.664889,41.054836,402.74792,25.865353,0.604796
213,2.13,1.533095,37.706345,369.89923,24.788113,-0.753198
214,2.14,1.445233,35.474033,348.00027,24.04316,-1.692303
215,2.15,1.50381,36.9623,362.60016,24.542328,-1.063041
216,2.16,1.738107,42.915085,420.99698,26.444859,1.335334
217,2.17,1.650245,40.682774,399.09802,25.747885,0.456712
218,2.18,1.513672,37.212864,365.0582,24.625372,-0.958353
219,2.19,1.694174,41.798878,410.047,26.098682,0.898936
220,2.2,1.674805,41.30677,405.21942,25.944593,0.704689
221,2.21,1.664889,41.054836,402.74792,25.865353,0.604796
222,2.22,1.430592,35.10205,344.3511,23.916769,-1.851635
223,2.23,1.606313,39.566593,388.1483,25.392216,0.008347
224,2.24,1.620957,39.938656,391.7982,25.511322,0.158497
225,2.25,1.694174,41.798878,410.047,26.098682,0.898936
226,2.26,1.489166,36.59024,358.95026,24.418495,-1.219148
227,2.27,1.650245,40.682774,399.09802,25.747885,0.456712
228,2.28,1.723463,42.543026,417.34708,26.329975,1.190509
229,2.29,1.767392,43.65913,428.29605,26.673119,1.623084
230,2.3,1.430592,35.10205,344.3511,23.916769,-1.851635
231,2.31,1.708819,42.170963,413.69717,26.214588,1.045049
232,2.32,1.679687,41.43081,406.43622,25.983519,0.753758
233,2.33,1.782036,44.03119,431.94595,26.78653,1.766054
234,2.34,1.508789,37.088802,363.84116,24.58429,-1.010143
235,2.35,1.474522,36.21818,355.30035,24.294031,-1.37605
236,2.36,1.679687,41.43081,406.43622,25.983519,0.753758
237,2.37,1.694336,41.802994,410.08737,26.099966,0.900556
238,2.38,1.503906,36.96474,362.62408,24.543139,-1.06202
239,2.39,1.459878,35.84612,351.65045,24.168924,-1.533761
240,2.4,1.674805,41.30677,405.21942,25.944593,0.704689
241,2.41,1.679687,41.43081,406.43622,25.983519,0.753758
242,2.42,1.577027,38.822525,380.84897,25.152327,-0.294063
243,2.43,1.538086,37.833153,371.14322,24.82976,-0.700698
244,2.44,1.664889,41.054836,402.74792,25.865353,0.604796
245,2.45,1.420184,34.837616,341.757,23.826511,-1.965416
246,2.46,1.723463,42.543026,417.34708,26.329975,1.190509
247,2.47,1.50381,36.9623,362.60016,24.542328,-1.063041
248,2.48,1.620957,39.938656,391.7982,25.511322,0.158497
249,2.49,1.767392,43.65913,428.29605,26.673119,1.623084
250,2.5,1.635601,40.310715,395.44812,25.629875,0.307948
251,2.51,1.542969,37.957214,372.36026,24.870438,-0.649419
252,2.52,1.50381,36.9623,362.60016,24.542328,-1.063041
253,2.53,1.650245,40.682774,399.09802,25.747885,0.456712
254,2.54,1.669922,41.18271,404.00238,25.905603,0.655536
255,2.55,1.674805,41.30677,405.21942,25.944593,0.704689
256,2.56,1.523437,37.460964,367.49207,24.707325,-0.855041
257,2.57,1.430592,35.10205,344.3511,23.916769,-1.851635
258,2.58,1.411543,34.618073,339.6033,23.751318,-2.060207
259,2.59,1.798064,44.43841,435.94083,26.910112,1.921845
260,2.6,1.503906,36.96474,362.62408,24.543139,-1.06202
261,2.61,1.459878,35.84612,351.65045,24.168924,-1.533761
262,2.62,1.708819,42.170963,413.69717,26.214588,1.045049
263,2.63,1.728516,42.671406,418.6065,26.369673,1.240553
264,2.64,1.542969,37.957214,372.36026,24.870438,-0.649419
265,2.65,1.562383,38.450466,377.19907,25.031511,-0.446366
266,2.66,1.723463,42.543026,417.34708,26.329975,1.190509
267,2.67,1.591669,39.194534,384.49838,25.272547,-0.142509
268,2.68,1.591669,39.194534,384.49838,25.272547,-0.142509
269,2.69,1.669922,41.18271,404.00238,25.905603,0.655536
270,2.7,1.533095,37.706345,369.89923,24.788113,-0.753198
271,2.71,1.52832,37.585026,368.7091,24.748203,-0.803509
272,2.72,1.723463,42.543026,417.34708,26.329975,1.190509
273,2.73,1.699219,41.927055,411.30444,26.138668,0.949343
274,2.74,1.650245,40.682774,399.09802,25.747885,0.456712
275,2.75,1.538086,37.833153,371.14322,24.82976,-0.700698
276,2.76,1.606313,39.566593,388.1483,25.392216,0.008347
277,2.77,1.723463,42.543026,417.34708,26.329975,1.190509
278,2.78,1.704102,42.05112,412.52148,26.17731,0.998058
279,2.79,1.606313,39.566593,388.1483,25.392216,0.008347
280,2.8,1.513672,37.212864,365.0582,24.625372,-0.958353
281,2.81,1.513672,37.212864,365.0582,24.625372,-0.958353
282,2.82,1.708819,42.170963,413.69717,26.214588,1.045049
283,2.83,1.694174,41.798878,410.047,26.098682,0.898936
284,2.84,1.518451,37.334286,366.24933,24.665514,-0.907749
285,2.85,1.547739,38.078403,373.54916,24.910109,-0.599407
286,2.86,1.547739,38.078403,373.54916,24.910109,-0.599407
287,2.87,1.533095,37.706345,369.89923,24.788113,-0.753198
288,2.88,1.591669,39.194534,384.49838,25.272547,-0.142509
289,2.89,1.562383,38.450466,377.19907,25.031511,-0.446366
290,2.9,1.523437,37.460964,367.49207,24.707325,-0.855041
291,2.91,1.591669,39.194534,384.49838,25.272547,-0.142509
292,2.92,1.679687,41.43081,406.43622,25.983519,0.753758
293,2.93,1.650245,40.682774,399.09802,25.747885,0.456712
294,2.94,1.650245,40.682774,399.09802,25.747885,0.456712
295,2.95,1.538086,37.833153,371.14322,24.82976,-0.700698
296,2.96,1.513672,37.212864,365.0582,24.625372,-0.958353
297,2.97,1.689453,41.678932,408.87033,26.061209,0.851696
298,2.98,1.782036,44.03119,431.94595,26.78653,1.766054
299,2.99,1.518555,37.336926,366.27524,24.666388,-0.906649
300,3.0,1.445233,35.474033,348.00027,24.04316,-1.692303
301,3.01,1.782036,44.03119,431.94595,26.78653,1.766054
302,3.02,1.723463,42.543026,417.34708,26.329975,1.190509
303,3.03,1.562383,38.450466,377.19907,25.031511,-0.446366
304,3.04,1.547739,38.078403,373.54916,24.910109,-0.599407
305,3.05,1.67953,41.42682,406.3971,25.982267,0.752181
306,3.06,1.533095,37.706345,369.89923,24.788113,-0.753198
307,3.07,1.562383,38.450466,377.19907,25.031511,-0.446366
308,3.08,1.562383,38.450466,377.19907,25.031511,-0.446366
309,3.09,1.782036,44.03119,431.94595,26.78653,1.766054
310,3.1,1.577027,38.822525,380.84897,25.152327,-0.294063
311,3.11,1.50381,36.9623,362.60016,24.542328,-1.063041
312,3.12,1.650245,40.682774,399.09802,25.747885,0.456712
313,3.13,1.547739,38.078403,373.54916,24.910109,-0.599407
314,3.14,1.799309,44.470043,436.25113,26.91969,1.933917
315,3.15,1.650245,40.682774,399.09802,25.747885,0.456712
316,3.16,1.694336,41.802994,410.08737,26.099966,0.900556
317,3.17,1.469727,36.096355,354.10522,24.253138,-1.427601
318,3.18,1.503906,36.96474,362.62408,24.543139,-1.06202
319,3.19,1.752748,43.287067,424.64615,26.559221,1.479503
320,3.2,1.762695,43.53979,427.12537,26.636639,1.577098
321,3.21,1.542969,37.957214,372.36026,24.870438,-0.649419
322,3.22,1.430592,35.10205,344.3511,23.916769,-1.851635
323,3.23,1.50381,36.9623,362.60016,24.542328,-1.063041
324,3.24,1.689453,41.678932,408.87033,26.061209,0.851696
325,3.25,1.752748,43.287067,424.64615,26.559221,1.479503
326,3.26,1.445233,35.474033,348.00027,24.04316,-1.692303
327,3.27,1.52832,37.585026,368.7091,24.748203,-0.803509
328,3.28,1.620957,39.938656,391.7982,25.511322,0.158497
329,3.29,1.67953,41.42682,406.3971,25.982267,0.752181
330,3.3,1.694174,41.798878,410.047,26.098682,0.898936
331,3.31,1.577027,38.822525,380.84897,25.152327,-0.294063
332,3.32,1.52832,37.585026,368.7091,24.748203,-0.803509
333,3.33,1.518451,37.334286,366.24933,24.665514,-0.907749
334,3.34,1.620957,39.938656,391.7982,25.511322,0.158497
335,3.35,1.708819,42.170963,413.69717,26.214588,1.045049
336,3.36,1.547739,38.078403,373.54916,24.910109,-0.599407
337,3.37,1.459878,35.84612,351.65045,24.168924,-1.533761
338,3.38,1.782036,44.03119,431.94595,26.78653,1.766054
339,3.39,1.542969,37.957214,372.36026,24.870438,-0.649419
340,3.4,1.591669,39.194534,384.49838,25.272547,-0.142509
341,3.41,1.547739,38.078403,373.54916,24.910109,-0.599407
342,3.42,1.50381,36.9623,362.60016,24.542328,-1.063041
343,3.43,1.664889,41.054836,402.74792,25.865353,0.604796
344,3.44,1.782036,44.03119,431.94595,26.78653,1.766054
345,3.45,1.591669,39.194534,384.49838,25.272547,-0.142509
346,3.46,1.542969,37.957214,372.36026,24.870438,-0.649419
347,3.47,1.533095,37.706345,369.89923,24.788113,-0.753198
348,3.48,1.606313,39.566593,388.1483,25.392216,0.008347
349,3.49,1.474522,36.21818,355.30035,24.294031,-1.37605
350,3.5,1.591669,39.194534,384.49838,25.272547,-0.142509
351,3.51,1.723463,42.543026,417.34708,26.329975,1.190509
352,3.52,1.606313,39.566593,388.1483,25.392216,0.008347
353,3.53,1.533095,37.706345,369.89923,24.788113,-0.753198
354,3.54,1.694336,41.802994,410.08737,26.099966,0.900556
355,3.55,1.635601,40.310715,395.44812,25.629875,0.307948
356,3.56,1.445233,35.474033,348.00027,24.04316,-1.692303
357,3.57,1.804962,44.61367,437.6601,26.963125,1.988674
358,3.58,1.635601,40.310715,395.44812,25.629875,0.307948
