,time,voltage,delp_mmh2o,delp_pa,velocity,di_sig
380,3.8,1.640625,40.43836,396.70032,25.670424,0.536589
381,3.81,1.660156,40.93458,401.56827,25.827446,0.841027
382,3.82,1.606445,39.569946,388.18118,25.393291,-0.000718
383,3.83,1.518555,37.336926,366.27524,24.666388,-1.410055
384,3.84,1.523437,37.460964,367.49207,24.707325,-1.330683
385,3.85,1.669922,41.18271,404.00238,25.905603,0.992562
386,3.86,1.694336,41.802994,410.08737,26.099966,1.369398
387,3.87,1.586914,39.073723,383.31323,25.233568,-0.310394
388,3.88,1.499023,36.84068,361.40704,24.501917,-1.728933
389,3.89,1.621094,39.942135,391.83234,25.512434,0.230278
390,3.9,1.572266,38.70156,379.66232,25.11311,-0.543939
391,3.91,1.616211,39.818073,390.6153,25.472782,0.153399
392,3.92,1.616211,39.818073,390.6153,25.472782,0.153399
393,3.93,1.635742,40.314297,395.48325,25.631016,0.460184
394,3.94,1.5625,38.453438,377.2282,25.032478,-0.700271
395,3.95,1.625977,40.066196,393.0494,25.552025,0.307037
396,3.96,1.601562,39.445885,386.96414,25.353453,-0.077958
397,3.97,1.577148,38.8256,380.87912,25.153322,-0.465977
398,3.98,1.591797,39.19779,384.53027,25.273596,-0.232788
399,3.99,1.655273,40.81052,400.35123,25.788277,0.765087
400,4.0,1.586914,39.073723,383.31323,25.233568,-0.310394
401,4.01,1.538086,37.833153,371.14322,24.82976,-1.093305
402,4.02,1.577148,38.8256,380.87912,25.153322,-0.465977
403,4.03,1.694336,41.802994,410.08737,26.099966,1.369398
404,4.04,1.650391,40.686485,399.1344,25.749058,0.689048
405,4.05,1.582031,38.94966,382.0962,25.193476,-0.388123
406,4.06,1.586914,39.073723,383.31323,25.233568,-0.310394
407,4.07,1.616211,39.818073,390.6153,25.472782,0.153399
408,4.08,1.640625,40.43836,396.70032,25.670424,0.536589
409,4.09,1.630859,40.190235,394.2662,25.591547,0.383662
410,4.1,1.572266,38.70156,379.66232,25.11311,-0.543939
411,4.11,1.586914,39.073723,383.31323,25.233568,-0.310394
412,4.12,1.601562,39.445885,386.96414,25.353453,-0.077958
413,4.13,1.708984,42.175156,413.73828,26.21589,1.594152
414,4.14,1.630859,40.190235,394.2662,25.591547,0.383662
415,4.15,1.552734,38.205315,374.79413,24.951586,-0.857108
416,4.16,1.513672,37.212864,365.0582,24.625372,-1.489575
417,4.17,1.655273,40.81052,400.35123,25.788277,0.765087
418,4.18,1.630859,40.190235,394.2662,25.591547,0.383662
419,4.19,1.611328,39.69401,389.39825,25.433067,0.076401
420,4.2,1.503906,36.96474,362.62408,24.543139,-1.649013
421,4.21,1.606445,39.569946,388.18118,25.393291,-0.000718
422,4.22,1.635742,40.314297,395.48325,25.631016,0.460184
423,4.23,1.650391,40.686485,399.1344,25.749058,0.689048
424,4.24,1.5625,38.453438,377.2282,25.032478,-0.700271
425,4.25,1.586914,39.073723,383.31323,25.233568,-0.310394
426,4.26,1.708984,42.175156,413.73828,26.21589,1.594152
427,4.27,1.640625,40.43836,396.70032,25.670424,0.536589
428,4.28,1.39997,34.32404,336.7188,23.650234,-3.380192
429,4.29,1.635742,40.314297,395.48325,25.631016,0.460184
430,4.3,1.880565,46.534515,456.5036,27.537458,4.156434
431,4.31,1.586914,39.073723,383.31323,25.233568,-0.310394
432,4.32,1.572266,38.70156,379.66232,25.11311,-0.543939
433,4.33,1.59668,39.32185,385.74734,25.31356,-0.155304
434,4.34,1.611328,39.69401,389.39825,25.433067,0.076401
435,4.35,1.868185,46.219975,453.41797,27.444235,3.97569
436,4.36,1.591797,39.19779,384.53027,25.273596,-0.232788
437,4.37,1.591797,39.19779,384.53027,25.273596,-0.232788
438,4.38,1.616211,39.818073,390.6153,25.472782,0.153399
