      Time (s)  Voltage (V)
1031     4.124     2.324219
1032     4.128     2.431641
1033     4.132     2.470703
1034     4.136     2.436523
1035     4.140     2.412109
1036     4.144     2.377930
1037     4.148     2.329102
1038     4.152     2.285156
1039     4.156     2.299805
1040     4.160     2.368164
1041     4.164     2.426758
1042     4.168     2.421875
1043     4.172     2.407227
1044     4.176     2.373047
1045     4.180     2.348633
1046     4.184     2.348633
1047     4.188     2.343750
1048     4.192     2.353516
1049     4.196     2.373047
1050     4.200     2.387695
1051     4.204     2.373047
1052     4.208     2.324219
1053     4.212     2.314453
1054     4.216     2.299805
1055     4.220     2.198660
1056     4.224     2.319336
1057     4.228     2.353516
1058     4.232     2.412109
1059     4.236     2.421875
1060     4.240     2.407227
1061     4.244     2.382812
1062     4.248     2.373047
1063     4.252     2.377930
1064     4.256     2.377930
1065     4.260     2.358398
1066     4.264     2.387695
1067     4.268     2.387695
1068     4.272     2.377930
1069     4.276     2.358398
1070     4.280     2.333984
1071     4.284     2.348633
1072     4.288     2.338867
1073     4.292     2.363281
1074     4.296     2.382812
1075     4.300     2.402344
1076     4.304     2.412109
1077     4.308     2.397461
1078     4.312     2.392578
1079     4.316     2.368164
1080     4.320     2.544779
1081     4.324     2.314453
1082     4.328     2.319336
1083     4.332     2.324219
1084     4.336     2.319336
1085     4.340     2.333984
1086     4.344     2.343750
1087     4.348     2.412109
1088     4.352     2.431641
1089     4.356     2.416992
1090     4.360     2.204150
1091     4.364     2.407227
1092     4.368     2.373047
1093     4.372     2.338867
1094     4.376     2.338867
1095     4.380     2.324219
1096     4.384     2.324219
1097     4.388     2.304687
1098     4.392     2.329102
1099     4.396     2.368164
1100     4.400     2.594441
1101     4.404     2.441406
1102     4.408     2.441406
1103     4.412     2.421875
1104     4.416     2.368164
1105     4.420     2.343750
1106     4.424     2.299805
1107     4.428     2.270508
1108     4.432     2.314453
1109     4.436     2.387695
1110     4.440     2.412109
1111     4.444     2.196113
1112     4.448     2.436523
1113     4.452     2.416992
1114     4.456     2.392578
1115     4.460     2.358398
1116     4.464     2.333984
1117     4.468     2.324219
1118     4.472     2.387695
1119     4.476     2.583390
1120     4.480     2.421875
1121     4.484     2.397461
1122     4.488     2.412109
1123     4.492     2.363281
1124     4.496     2.559618
1125     4.500     2.324219
1126     4.504     2.290039
1127     4.508     2.299805
1128     4.512     2.348633
1129     4.516     2.387695
1130     4.520     2.412109
1131     4.524     2.421875
1132     4.528     2.426758
1133     4.532     2.416992
1134     4.536     2.382812
1135     4.540     2.373047
1136     4.544     2.333984
1137     4.548     2.338867
1138     4.552     2.353516
1139     4.556     2.382812
1140     4.560     2.358398
1141     4.564     2.368164
1142     4.568     2.382812
1143     4.572     2.189640
1144     4.576     2.382812
1145     4.580     2.368164
1146     4.584     2.549288
1147     4.588     2.382812
1148     4.592     2.368164
1149     4.596     2.397461
1150     4.600     2.377930
1151     4.604     2.382812
1152     4.608     2.397461
1153     4.612     2.412109
1154     4.616     2.373047
1155     4.620     2.338867
1156     4.624     2.333984
1157     4.628     2.333984
1158     4.632     2.358398
1159     4.636     2.387695
1160     4.640     2.397461
1161     4.644     2.426758
1162     4.648     2.436523
1163     4.652     2.402344
1164     4.656     2.353516
1165     4.660     2.329102
1166     4.664     2.314453
1167     4.668     2.358398
1168     4.672     2.373047
1169     4.676     2.407227
1170     4.680     2.431641
1171     4.684     2.421875
1172     4.688     2.392578
1173     4.692     2.363281
1174     4.696     2.358398
1175     4.700     2.333984
1176     4.704     2.314453
1177     4.708     2.329102
1178     4.712     2.304687
1179     4.716     2.294922
1180     4.720     2.329102
1181     4.724     2.353516
1182     4.728     2.358398
1183     4.732     2.363281
1184     4.736     2.412109
1185     4.740     2.431641
1186     4.744     2.382812
1187     4.748     2.363281
1188     4.752     2.353516
1189     4.756     2.353516
1190     4.760     2.338867
1191     4.764     2.338867
1192     4.768     2.358398
1193     4.772     2.373047
1194     4.776     2.392578
1195     4.780     2.426758
1196     4.784     2.426758
1197     4.788     2.407227
1198     4.792     2.382812
1199     4.796     2.387695
1200     4.800     2.387695
1201     4.804     2.377930
1202     4.808     2.397461
1203     4.812     2.402344
1204     4.816     2.397461
1205     4.820     2.382812
1206     4.824     2.368164
1207     4.828     2.387695
1208     4.832     2.353516
1209     4.836     2.377930
1210     4.840     2.421875
1211     4.844     2.451172
1212     4.848     2.460937
1213     4.852     2.470703
1214     4.856     2.441406
1215     4.860     2.412109
1216     4.864     2.373047
1217     4.868     2.329102
1218     4.872     2.324219
1219     4.876     2.353516
1220     4.880     2.402344
1221     4.884     2.392578
1222     4.888     2.397461
1223     4.892     2.556270
1224     4.896     2.358398
1225     4.900     2.353516
1226     4.904     2.343750
1227     4.908     2.358398
1228     4.912     2.387695
1229     4.916     2.416992
1230     4.920     2.426758
1231     4.924     2.407227
1232     4.928     2.353516
1233     4.932     2.353516
1234     4.936     2.363281
1235     4.940     2.373047
1236     4.944     2.377930
1237     4.948     2.387695
1238     4.952     2.402344
1239     4.956     2.421875
1240     4.960     2.441406
1241     4.964     2.460937
1242     4.968     2.460937
1243     4.972     2.441406
