,Time,Voltage
589,2.945,0.571289
590,2.95,0.629883
591,2.955,0.649414
592,2.96,0.639648
593,2.965,0.620117
594,2.97,0.576172
595,2.975,0.556641
596,2.98,0.532227
597,2.985,0.541992
598,2.99,0.610352
599,2.995,0.615234
600,3.0,0.610352
601,3.005,0.620117
602,3.01,0.639648
603,3.015,0.615234
604,3.02,0.629883
605,3.025,0.615234
606,3.03,0.581055
607,3.035,0.561523
608,3.04,0.59082
609,3.045,0.605469
610,3.05,0.585937
611,3.055,0.571289
612,3.06,0.595703
613,3.065,0.595703
614,3.07,0.585937
615,3.075,0.561523
616,3.08,0.566406
617,3.085,0.585937
618,3.09,0.581055
619,3.095,0.581055
620,3.1,0.629883
621,3.105,0.620117
622,3.11,0.585937
623,3.115,0.595703
624,3.12,0.615234
625,3.125,0.585937
626,3.13,0.595703
627,3.135,0.615234
628,3.14,0.600586
629,3.145,0.600586
630,3.15,0.610352
631,3.155,0.59082
632,3.16,0.600586
633,3.165,0.556641
634,3.17,0.566406
635,3.175,0.605469
636,3.18,0.605469
637,3.185,0.571289
638,3.19,0.581055
639,3.195,0.566406
640,3.2,0.527344
641,3.205,0.551758
642,3.21,0.59082
643,3.215,0.600586
644,3.22,0.605469
645,3.225,0.634766
646,3.23,0.620117
647,3.235,0.556641
648,3.24,0.561523
649,3.245,0.576172
650,3.25,0.605469
651,3.255,0.615234
652,3.26,0.610352
653,3.265,0.610352
654,3.27,0.585937
655,3.275,0.595703
656,3.28,0.595703
657,3.285,0.595703
658,3.29,0.605469
659,3.295,0.585937
660,3.3,0.566406
661,3.305,0.576172
662,3.31,0.571289
663,3.315,0.576172
664,3.32,0.605469
665,3.325,0.639648
666,3.33,0.644531
667,3.335,0.610352
668,3.34,0.59082
669,3.345,0.59082
670,3.35,0.551758
671,3.355,0.59082
672,3.36,0.595703
673,3.365,0.566406
674,3.37,0.571289
675,3.375,0.600586
676,3.38,0.585937
677,3.385,0.595703
678,3.39,0.634766
679,3.395,0.644531
680,3.4,0.605469
681,3.405,0.620117
682,3.41,0.59082
683,3.415,0.532227
684,3.42,0.537109
685,3.425,0.585937
686,3.43,0.600586
687,3.435,0.595703
688,3.44,0.600586
689,3.445,0.571289
690,3.45,0.527344
691,3.455,0.556641
692,3.46,0.585937
693,3.465,0.654297
694,3.47,0.629883
695,3.475,0.620117
696,3.48,0.610352
697,3.485,0.541992
698,3.49,0.541992
699,3.495,0.585937
700,3.5,0.615234
701,3.505,0.644531
702,3.51,0.644531
703,3.515,0.576172
704,3.52,0.551758
705,3.525,0.556641
706,3.53,0.581055
707,3.535,0.605469
708,3.54,0.634766
709,3.545,0.644531
710,3.55,0.625
711,3.555,0.620117
712,3.56,0.556641
713,3.565,0.556641
714,3.57,0.610352
715,3.575,0.576172
716,3.58,0.605469
717,3.585,0.678711
718,3.59,0.639648
719,3.595,0.620117
720,3.6,0.615234
721,3.605,0.585937
722,3.61,0.566406
723,3.615,0.566406
724,3.62,0.561523
725,3.625,0.595703
726,3.63,0.595703
727,3.635,0.605469
728,3.64,0.629883
729,3.645,0.620117
730,3.65,0.581055
731,3.655,0.595703
732,3.66,0.581055
733,3.665,0.620117
734,3.67,0.625
735,3.675,0.610352
736,3.68,0.600586
737,3.685,0.595703
738,3.69,0.571289
739,3.695,0.581055
740,3.7,0.561523
741,3.705,0.59082
742,3.71,0.620117
743,3.715,0.644531
744,3.72,0.605469
745,3.725,0.595703
746,3.73,0.610352
747,3.735,0.585937
748,3.74,0.556641
749,3.745,0.595703
750,3.75,0.576172
751,3.755,0.59082
752,3.76,0.615234
753,3.765,0.625
754,3.77,0.615234
755,3.775,0.615234
756,3.78,0.576172
757,3.785,0.546875
758,3.79,0.571289
759,3.795,0.576172
760,3.8,0.571289
761,3.805,0.585937
762,3.81,0.59082
763,3.815,0.600586
764,3.82,0.600586
765,3.825,0.620117
766,3.83,0.644531
767,3.835,0.600586
768,3.84,0.556641
769,3.845,0.556641
770,3.85,0.571289
771,3.855,0.566406
772,3.86,0.556641
773,3.865,0.581055
774,3.87,0.600586
775,3.875,0.571289
776,3.88,0.585937
777,3.885,0.605469
778,3.89,0.59082
779,3.895,0.576172
780,3.9,0.571289
781,3.905,0.571289
782,3.91,0.556641
783,3.915,0.541992
784,3.92,0.600586
785,3.925,0.576172
786,3.93,0.537109
787,3.935,0.566406
788,3.94,0.551758
789,3.945,0.541992
790,3.95,0.576172
791,3.955,0.576172
792,3.96,0.576172
793,3.965,0.507812
794,3.97,0.541992
795,3.975,0.566406
796,3.98,0.566406
797,3.985,0.59082
798,3.99,0.615234
799,3.995,0.610352
800,4.0,0.610352
801,4.005,0.585937
802,4.01,0.605469
803,4.015,0.59082
804,4.02,0.556641
805,4.025,0.551758
806,4.03,0.595703
807,4.035,0.581055
808,4.04,0.615234
809,4.045,0.615234
810,4.05,0.610352
811,4.055,0.595703
812,4.06,0.610352
813,4.065,0.605469
814,4.07,0.59082
815,4.075,0.595703
816,4.08,0.581055
817,4.085,0.556641
818,4.09,0.585937
819,4.095,0.571289
820,4.1,0.729673
821,4.105,0.595703
822,4.11,0.585937
823,4.115,0.541992
824,4.12,0.551758
825,4.125,0.532227
826,4.13,0.576172
827,4.135,0.634766
